Date;Return_AMD;Return_SPY
3/8/2017;-1.0%;-0.2%
4/8/2017;-0.9%;0.2%
7/8/2017;2.4%;0.2%
8/8/2017;-2.4%;-0.2%
9/8/2017;-2.1%;0.0%
10/8/2017;-5.5%;-1.4%
11/8/2017;0.9%;0.1%
14/8/2017;4.3%;1.0%
15/8/2017;2.0%;0.0%
16/8/2017;-3.0%;0.2%
17/8/2017;-2.3%;-1.6%
18/8/2017;0.2%;-0.2%
21/8/2017;-2.6%;0.1%
22/8/2017;1.0%;1.0%
23/8/2017;2.5%;-0.4%
24/8/2017;0.2%;-0.2%
25/8/2017;-0.6%;0.2%
28/8/2017;-1.6%;0.0%
29/8/2017;-0.7%;0.1%
30/8/2017;4.3%;0.5%
31/8/2017;2.6%;0.6%
1/9/2017;1.5%;0.1%
5/9/2017;-2.0%;-0.7%
6/9/2017;-0.5%;0.3%
7/9/2017;-1.8%;0.0%
8/9/2017;-3.0%;-0.1%
11/9/2017;2.4%;1.1%
12/9/2017;-2.0%;0.3%
13/9/2017;-0.7%;0.0%
14/9/2017;0.3%;0.0%
15/9/2017;2.1%;0.1%
18/9/2017;4.5%;0.2%
19/9/2017;0.3%;0.1%
20/9/2017;4.7%;0.0%
21/9/2017;-2.4%;-0.3%
22/9/2017;-0.8%;0.0%
25/9/2017;-5.2%;-0.2%
26/9/2017;-1.3%;0.1%
27/9/2017;2.3%;0.4%
28/9/2017;0.0%;0.1%
29/9/2017;0.1%;0.4%
2/10/2017;-0.3%;0.4%
3/10/2017;5.6%;0.2%
4/10/2017;-0.8%;0.1%
5/10/2017;0.2%;0.6%
6/10/2017;-0.8%;-0.1%
9/10/2017;1.8%;-0.2%
10/10/2017;1.7%;0.3%
11/10/2017;1.3%;0.2%
12/10/2017;2.3%;-0.1%
13/10/2017;0.1%;0.1%
16/10/2017;0.3%;0.1%
17/10/2017;-0.7%;0.1%
18/10/2017;-0.6%;0.1%
19/10/2017;-0.9%;0.0%
20/10/2017;-1.0%;0.5%
23/10/2017;2.1%;-0.4%
24/10/2017;1.1%;0.2%
25/10/2017;-13.5%;-0.5%
26/10/2017;-2.6%;0.1%
27/10/2017;-1.4%;0.8%
30/10/2017;-8.0%;-0.4%
31/10/2017;0.9%;0.2%
1/11/2017;-1.7%;0.1%
2/11/2017;0.5%;0.0%
3/11/2017;2.5%;0.3%
6/11/2017;7.3%;0.2%
7/11/2017;1.0%;-0.1%
8/11/2017;-2.8%;0.2%
9/11/2017;-5.0%;-0.4%
10/11/2017;1.3%;0.0%
13/11/2017;-1.5%;0.1%
14/11/2017;0.3%;-0.2%
15/11/2017;-0.4%;-0.5%
16/11/2017;1.6%;0.9%
17/11/2017;1.2%;-0.3%
20/11/2017;-0.4%;0.2%
21/11/2017;0.5%;0.7%
22/11/2017;-0.3%;-0.1%
24/11/2017;0.1%;0.2%
27/11/2017;1.5%;0.0%
28/11/2017;-3.3%;1.0%
29/11/2017;-3.0%;-0.1%
30/11/2017;0.6%;0.9%
1/12/2017;-1.5%;-0.2%
4/12/2017;-6.5%;-0.1%
5/12/2017;-1.2%;-0.4%
6/12/2017;0.9%;0.0%
7/12/2017;0.4%;0.3%
8/12/2017;-1.0%;0.5%
11/12/2017;2.2%;0.3%
12/12/2017;-2.6%;0.2%
13/12/2017;2.1%;0.0%
14/12/2017;0.2%;-0.4%
15/12/2017;1.6%;0.8%
18/12/2017;6.7%;0.6%
19/12/2017;-0.3%;-0.4%
20/12/2017;0.3%;-0.1%
21/12/2017;-0.8%;0.2%
22/12/2017;-3.2%;0.0%
26/12/2017;-0.8%;-0.1%
27/12/2017;0.7%;0.0%
28/12/2017;0.2%;0.2%
29/12/2017;-2.6%;-0.4%
2/1/2018;6.8%;0.7%
3/1/2018;5.2%;0.6%
4/1/2018;4.9%;0.4%
5/1/2018;-2.0%;0.7%
8/1/2018;3.4%;0.2%
9/1/2018;-3.7%;0.2%
10/1/2018;1.2%;-0.2%
11/1/2018;1.5%;0.7%
12/1/2018;-1.0%;0.7%
16/1/2018;-0.9%;-0.3%
17/1/2018;2.3%;1.0%
18/1/2018;2.4%;-0.2%
19/1/2018;1.0%;0.5%
22/1/2018;0.5%;0.8%
23/1/2018;2.3%;0.2%
24/1/2018;-1.8%;0.0%
25/1/2018;-2.4%;0.0%
26/1/2018;4.4%;1.2%
29/1/2018;2.9%;-0.7%
30/1/2018;-3.4%;-1.0%
31/1/2018;6.8%;0.0%
1/2/2018;-3.6%;-0.1%
2/2/2018;-6.0%;-2.2%
5/2/2018;-7.1%;-4.2%
6/2/2018;0.7%;2.0%
7/2/2018;-0.4%;-0.5%
8/2/2018;-3.3%;-3.8%
9/2/2018;0.8%;1.5%
12/2/2018;3.3%;1.5%
13/2/2018;0.9%;0.2%
14/2/2018;3.6%;1.3%
15/2/2018;-0.1%;1.3%
16/2/2018;-3.0%;0.0%
20/2/2018;1.7%;-0.6%
21/2/2018;-2.5%;-0.5%
22/2/2018;1.0%;0.1%
23/2/2018;1.9%;1.6%
26/2/2018;2.9%;1.2%
27/2/2018;0.9%;-1.2%
28/2/2018;-3.4%;-1.0%
1/3/2018;-1.7%;-1.5%
2/3/2018;-0.8%;0.5%
5/3/2018;0.8%;1.2%
6/3/2018;-1.3%;0.3%
7/3/2018;4.1%;0.0%
8/3/2018;-2.2%;0.5%
9/3/2018;-2.3%;1.7%
12/3/2018;-1.5%;-0.1%
13/3/2018;1.0%;-0.6%
14/3/2018;-2.4%;-0.5%
15/3/2018;0.9%;-0.1%
16/3/2018;0.1%;0.1%
19/3/2018;-0.3%;-1.4%
20/3/2018;-2.8%;0.2%
21/3/2018;1.4%;-0.2%
22/3/2018;-3.1%;-2.5%
23/3/2018;-2.6%;-2.1%
26/3/2018;-1.8%;2.7%
27/3/2018;-4.2%;-1.7%
28/3/2018;-1.9%;-0.3%
29/3/2018;2.4%;1.3%
2/4/2018;-5.2%;-2.2%
3/4/2018;0.2%;1.3%
4/4/2018;2.3%;1.1%
5/4/2018;2.6%;0.8%
6/4/2018;-4.1%;-2.2%
9/4/2018;-0.8%;0.5%
10/4/2018;4.7%;1.6%
11/4/2018;-1.6%;-0.5%
12/4/2018;2.6%;0.8%
13/4/2018;-1.5%;-0.3%
16/4/2018;1.6%;0.8%
17/4/2018;4.3%;1.1%
18/4/2018;-1.5%;0.1%
19/4/2018;-2.4%;-0.6%
20/4/2018;-1.2%;-0.8%
23/4/2018;0.5%;0.0%
24/4/2018;0.5%;-1.3%
25/4/2018;-3.8%;0.2%
26/4/2018;13.7%;1.0%
27/4/2018;0.6%;0.1%
30/4/2018;-2.1%;-0.8%
1/5/2018;2.3%;0.2%
2/5/2018;-1.4%;-0.7%
3/5/2018;-0.4%;-0.2%
4/5/2018;3.2%;1.3%
7/5/2018;2.7%;0.3%
8/5/2018;0.2%;0.0%
9/5/2018;2.9%;1.0%
10/5/2018;1.5%;0.9%
11/5/2018;-1.5%;0.3%
14/5/2018;2.3%;0.0%
15/5/2018;1.8%;-0.7%
16/5/2018;3.0%;0.4%
17/5/2018;0.0%;-0.1%
18/5/2018;1.4%;-0.2%
21/5/2018;-0.1%;0.8%
22/5/2018;-0.1%;-0.3%
23/5/2018;0.9%;0.3%
24/5/2018;2.4%;-0.2%
25/5/2018;1.0%;-0.2%
29/5/2018;-1.3%;-1.2%
30/5/2018;3.4%;1.3%
31/5/2018;-0.7%;-0.6%
1/6/2018;4.9%;1.0%
4/6/2018;3.1%;0.5%
5/6/2018;0.0%;0.1%
6/6/2018;5.5%;0.8%
7/6/2018;-5.0%;0.0%
8/6/2018;2.4%;0.3%
11/6/2018;3.1%;0.1%
12/6/2018;0.8%;0.1%
13/6/2018;3.0%;-0.3%
14/6/2018;-0.4%;0.3%
15/6/2018;0.6%;-0.1%
18/6/2018;4.7%;-0.2%
19/6/2018;-2.5%;-0.4%
20/6/2018;-1.0%;0.2%
21/6/2018;-5.3%;-0.6%
22/6/2018;1.0%;0.2%
25/6/2018;-4.4%;-1.4%
26/6/2018;2.6%;0.2%
27/6/2018;-3.4%;-0.8%
28/6/2018;2.3%;0.6%
29/6/2018;-2.1%;0.1%
2/7/2018;1.1%;0.2%
3/7/2018;-1.1%;-0.4%
5/7/2018;3.3%;0.8%
6/7/2018;5.5%;0.8%
9/7/2018;1.5%;0.9%
