Date;Return_AMD;Return_SPY
10/12/2019;1.3%;-0.1%
11/12/2019;0.1%;0.3%
12/12/2019;7.9%;0.9%
13/12/2019;-3.4%;0.1%
16/12/2019;2.9%;0.7%
17/12/2019;1.0%;0.0%
18/12/2019;-1.1%;0.0%
19/12/2019;1.3%;0.4%
20/12/2019;3.1%;0.4%
23/12/2019;3.0%;0.2%
24/12/2019;2.4%;0.0%
26/12/2019;0.2%;0.5%
27/12/2019;-1.0%;0.0%
30/12/2019;-1.4%;-0.6%
31/12/2019;0.7%;0.2%
2/1/2020;7.1%;0.9%
3/1/2020;-1.0%;-0.8%
6/1/2020;-0.4%;0.4%
7/1/2020;-0.3%;-0.3%
8/1/2020;-0.9%;0.5%
9/1/2020;2.4%;0.7%
10/1/2020;-1.6%;-0.3%
13/1/2020;1.2%;0.7%
14/1/2020;-1.1%;-0.2%
15/1/2020;0.7%;0.2%
16/1/2020;2.5%;0.8%
17/1/2020;2.3%;0.3%
21/1/2020;0.2%;-0.2%
22/1/2020;0.7%;0.0%
23/1/2020;0.5%;0.1%
24/1/2020;-2.6%;-0.9%
27/1/2020;-2.2%;-1.6%
28/1/2020;2.6%;1.0%
29/1/2020;-6.0%;-0.1%
30/1/2020;2.7%;0.3%
31/1/2020;-3.6%;-1.8%
3/2/2020;2.2%;0.7%
4/2/2020;3.0%;1.5%
5/2/2020;0.8%;1.2%
6/2/2020;-1.0%;0.3%
7/2/2020;0.8%;-0.5%
10/2/2020;5.1%;0.7%
11/2/2020;2.9%;0.2%
12/2/2020;0.2%;0.6%
13/2/2020;1.2%;-0.1%
14/2/2020;1.4%;0.2%
18/2/2020;2.9%;-0.3%
19/2/2020;3.5%;0.5%
20/2/2020;-2.8%;-0.4%
21/2/2020;-7.0%;-1.0%
24/2/2020;-7.8%;-3.3%
25/2/2020;-3.2%;-3.0%
26/2/2020;-0.2%;-0.4%
27/2/2020;-7.3%;-4.5%
28/2/2020;3.3%;-0.4%
2/3/2020;4.4%;4.3%
3/3/2020;-1.5%;-2.9%
4/3/2020;7.2%;4.2%
5/3/2020;-4.0%;-3.3%
6/3/2020;1.0%;-1.7%
9/3/2020;-10.9%;-7.8%
10/3/2020;4.9%;5.2%
11/3/2020;0.7%;-4.9%
12/3/2020;-14.6%;-9.6%
13/3/2020;12.5%;8.5%
16/3/2020;-11.8%;-10.9%
17/3/2020;8.2%;5.4%
18/3/2020;-6.6%;-5.1%
19/3/2020;1.8%;0.2%
20/3/2020;-0.5%;-4.3%
23/3/2020;5.1%;-2.6%
24/3/2020;11.0%;9.1%
25/3/2020;-3.4%;1.5%
26/3/2020;6.4%;5.8%
27/3/2020;-1.9%;-3.0%
30/3/2020;2.7%;3.2%
31/3/2020;-5.0%;-1.5%
1/4/2020;-4.0%;-4.5%
2/4/2020;1.9%;2.3%
3/4/2020;-4.3%;-1.4%
6/4/2020;11.6%;6.7%
7/4/2020;0.1%;0.1%
8/4/2020;2.6%;3.4%
9/4/2020;-0.8%;1.5%
13/4/2020;5.3%;-0.9%
14/4/2020;7.8%;2.9%
15/4/2020;0.1%;-2.1%
16/4/2020;3.6%;0.5%
17/4/2020;-0.6%;2.7%
20/4/2020;0.7%;-1.8%
21/4/2020;-7.1%;-3.0%
22/4/2020;5.7%;2.2%
23/4/2020;0.0%;0.0%
24/4/2020;0.5%;1.4%
27/4/2020;0.6%;1.4%
28/4/2020;-1.7%;-0.5%
29/4/2020;-3.3%;2.6%
30/4/2020;-2.4%;-0.9%
1/5/2020;-4.8%;-2.6%
4/5/2020;5.4%;0.3%
5/5/2020;-0.7%;0.9%
6/5/2020;-0.1%;-0.7%
7/5/2020;-0.4%;1.2%
8/5/2020;2.4%;1.7%
11/5/2020;4.8%;0.0%
12/5/2020;-3.6%;-2.0%
13/5/2020;-2.9%;-1.8%
14/5/2020;4.5%;1.2%
15/5/2020;-0.6%;0.5%
18/5/2020;0.7%;3.0%
19/5/2020;1.6%;-1.0%
20/5/2020;1.7%;1.7%
21/5/2020;-3.1%;-0.7%
22/5/2020;1.0%;0.2%
26/5/2020;-3.6%;1.2%
27/5/2020;-0.8%;1.5%
28/5/2020;-1.9%;-0.2%
29/5/2020;4.0%;0.4%
1/6/2020;-0.3%;0.4%
2/6/2020;-0.2%;0.8%
3/6/2020;-1.5%;1.3%
4/6/2020;-0.2%;-0.3%
5/6/2020;0.9%;2.6%
8/6/2020;-0.2%;1.2%
9/6/2020;6.5%;-0.7%
10/6/2020;1.9%;-0.6%
11/6/2020;-8.0%;-5.8%
12/6/2020;1.3%;1.2%
15/6/2020;2.2%;0.9%
16/6/2020;-0.4%;1.9%
17/6/2020;0.2%;-0.4%
18/6/2020;-0.9%;0.0%
19/6/2020;0.4%;-0.6%
22/6/2020;1.0%;0.6%
23/6/2020;-1.4%;0.5%
24/6/2020;-3.0%;-2.6%
25/6/2020;-0.9%;1.1%
26/6/2020;-3.5%;-2.4%
29/6/2020;0.4%;1.5%
30/6/2020;4.6%;1.3%
1/7/2020;-0.1%;0.7%
2/7/2020;-0.5%;0.6%
6/7/2020;2.0%;1.5%
7/7/2020;-0.9%;-1.0%
8/7/2020;0.9%;0.8%
9/7/2020;7.2%;-0.6%
10/7/2020;-2.4%;1.0%
13/7/2020;-4.1%;-0.9%
14/7/2020;2.1%;1.3%
15/7/2020;1.1%;0.9%
16/7/2020;-0.8%;-0.3%
17/7/2020;0.2%;0.3%
20/7/2020;4.4%;0.8%
21/7/2020;-0.8%;0.2%
22/7/2020;8.4%;0.6%
23/7/2020;-3.6%;-1.2%
24/7/2020;16.5%;-0.6%
27/7/2020;-0.6%;0.7%
28/7/2020;-2.0%;-0.6%
29/7/2020;12.5%;1.2%
30/7/2020;2.8%;-0.4%
31/7/2020;-1.0%;0.8%
3/8/2020;0.3%;0.7%
4/8/2020;9.5%;0.4%
5/8/2020;0.3%;0.6%
6/8/2020;1.6%;0.7%
7/8/2020;-2.1%;0.1%
10/8/2020;-3.1%;0.3%
11/8/2020;-6.5%;-0.8%
12/8/2020;7.5%;1.4%
13/8/2020;-0.9%;-0.2%
14/8/2020;-0.7%;0.0%
17/8/2020;1.4%;0.3%
18/8/2020;-0.9%;0.2%
19/8/2020;-0.7%;-0.4%
20/8/2020;2.1%;0.3%
21/8/2020;1.3%;0.4%
24/8/2020;-0.9%;1.0%
25/8/2020;3.9%;0.3%
26/8/2020;-0.4%;1.0%
27/8/2020;-2.6%;0.2%
28/8/2020;2.1%;0.6%
31/8/2020;6.2%;-0.4%
1/9/2020;1.5%;0.9%
2/9/2020;-2.1%;1.4%
3/9/2020;-8.5%;-3.4%
4/9/2020;-0.6%;-0.8%
8/9/2020;-4.0%;-2.7%
9/9/2020;4.1%;2.0%
10/9/2020;-3.6%;-1.7%
11/9/2020;-3.3%;0.1%
14/9/2020;2.0%;1.3%
15/9/2020;1.3%;0.5%
16/9/2020;-2.9%;-0.4%
17/9/2020;-0.1%;-0.9%
18/9/2020;-2.1%;-1.2%
21/9/2020;4.0%;-1.1%
22/9/2020;-0.3%;1.0%
23/9/2020;-3.8%;-2.3%
24/9/2020;1.5%;0.3%
25/9/2020;3.0%;1.6%
28/9/2020;1.8%;1.7%
29/9/2020;2.9%;-0.5%
30/9/2020;0.3%;0.8%
1/10/2020;3.5%;0.6%
2/10/2020;-3.6%;-0.9%
5/10/2020;5.3%;1.8%
6/10/2020;-1.9%;-1.4%
7/10/2020;2.6%;1.7%
8/10/2020;-0.2%;0.9%
9/10/2020;-3.9%;0.9%
12/10/2020;1.4%;1.6%
13/10/2020;1.2%;-0.7%
14/10/2020;-1.3%;-0.6%
15/10/2020;-1.3%;-0.1%
16/10/2020;0.0%;-0.1%
19/10/2020;-1.4%;-1.5%
20/10/2020;-0.5%;0.4%
21/10/2020;-2.9%;-0.2%
22/10/2020;0.3%;0.5%
23/10/2020;3.2%;0.3%
26/10/2020;0.3%;-1.8%
27/10/2020;-4.1%;-0.3%
28/10/2020;-3.1%;-3.4%
29/10/2020;2.1%;1.0%
30/10/2020;-3.5%;-1.0%
2/11/2020;-0.8%;1.1%
3/11/2020;2.5%;1.8%
4/11/2020;6.2%;2.2%
5/11/2020;2.0%;2.0%
6/11/2020;3.5%;0.0%
9/11/2020;-3.2%;1.3%
10/11/2020;-6.2%;-0.1%
11/11/2020;4.2%;0.7%
12/11/2020;0.7%;-1.0%
13/11/2020;-0.5%;1.4%
16/11/2020;2.8%;1.2%
17/11/2020;-0.4%;-0.5%
18/11/2020;-1.0%;-1.2%
19/11/2020;3.6%;0.4%
20/11/2020;-1.1%;-0.7%
23/11/2020;0.8%;0.6%
24/11/2020;-0.3%;1.6%
25/11/2020;1.9%;-0.2%
27/11/2020;0.6%;0.3%
30/11/2020;6.3%;-0.4%
1/12/2020;0.0%;1.1%
2/12/2020;1.2%;0.2%
3/12/2020;-1.5%;0.0%
4/12/2020;1.9%;0.9%
7/12/2020;0.0%;-0.2%
8/12/2020;-1.2%;0.3%
9/12/2020;-3.3%;-0.9%
10/12/2020;2.0%;0.0%
11/12/2020;0.0%;-0.1%
14/12/2020;3.4%;-0.4%
15/12/2020;2.5%;1.4%
16/12/2020;-0.3%;0.2%
17/12/2020;0.0%;0.6%
18/12/2020;-1.0%;-0.4%
21/12/2020;-2.8%;-0.4%
22/12/2020;-0.1%;-0.2%
23/12/2020;-1.7%;0.1%
24/12/2020;0.3%;0.4%
28/12/2020;-0.2%;0.9%
29/12/2020;-1.1%;-0.2%
30/12/2020;1.8%;0.1%
31/12/2020;-0.6%;0.5%
4/1/2021;0.6%;-1.4%
5/1/2021;0.5%;0.7%
6/1/2021;-2.6%;0.6%
7/1/2021;5.3%;1.5%
8/1/2021;-0.6%;0.6%
11/1/2021;2.8%;-0.7%
12/1/2021;-1.9%;0.0%
13/1/2021;-3.8%;0.3%
14/1/2021;-1.1%;-0.4%
15/1/2021;-2.8%;-0.7%
19/1/2021;1.4%;0.8%
20/1/2021;-0.8%;1.4%
21/1/2021;3.1%;0.1%
22/1/2021;1.4%;-0.4%
25/1/2021;1.4%;0.4%
26/1/2021;0.6%;-0.2%
27/1/2021;-6.2%;-2.4%
28/1/2021;-1.5%;0.9%
29/1/2021;-2.1%;-2.0%
1/2/2021;2.4%;1.7%
2/2/2021;1.4%;1.4%
3/2/2021;-1.1%;0.1%
4/2/2021;-0.1%;1.1%
5/2/2021;0.1%;0.4%
8/2/2021;4.1%;0.7%
9/2/2021;-0.6%;-0.1%
10/2/2021;1.6%;0.0%
11/2/2021;0.3%;0.2%
12/2/2021;1.2%;0.5%
16/2/2021;-2.5%;-0.1%
17/2/2021;-1.7%;0.0%
18/2/2021;-1.4%;-0.4%
19/2/2021;1.1%;-0.2%
22/2/2021;-4.7%;-0.8%
23/2/2021;-0.7%;0.1%
24/2/2021;2.6%;1.1%
25/2/2021;-5.2%;-2.4%
26/2/2021;2.5%;-0.5%
1/3/2021;2.2%;2.4%
2/3/2021;-2.6%;-0.8%
3/3/2021;-3.9%;-1.3%
4/3/2021;-3.8%;-1.2%
5/3/2021;1.0%;1.8%
8/3/2021;-5.8%;-0.5%
9/3/2021;6.2%;1.4%
10/3/2021;-1.3%;0.6%
11/3/2021;4.8%;1.0%
12/3/2021;-0.2%;0.1%
15/3/2021;1.8%;0.6%
16/3/2021;0.3%;-0.1%
17/3/2021;-0.1%;0.3%
18/3/2021;-5.5%;-1.5%
19/3/2021;1.2%;-0.2%
22/3/2021;1.6%;0.8%
23/3/2021;-2.4%;-0.8%
24/3/2021;-2.4%;-0.5%
25/3/2021;-0.3%;0.6%
26/3/2021;1.6%;1.6%
29/3/2021;-0.3%;-0.1%
30/3/2021;-1.5%;-0.3%
31/3/2021;3.3%;0.4%
1/4/2021;3.3%;1.1%
5/4/2021;0.4%;1.4%
6/4/2021;0.0%;-0.1%
7/4/2021;0.9%;0.1%
8/4/2021;1.4%;0.5%
9/4/2021;-0.7%;0.7%
12/4/2021;-5.1%;0.0%
13/4/2021;2.0%;0.3%
14/4/2021;-2.0%;-0.3%
15/4/2021;5.7%;1.1%
16/4/2021;-1.0%;0.3%
19/4/2021;-1.3%;-0.5%
20/4/2021;-2.3%;-0.7%
21/4/2021;3.0%;0.9%
22/4/2021;-3.1%;-0.9%
23/4/2021;4.7%;1.1%
26/4/2021;3.2%;0.2%
27/4/2021;-0.2%;0.0%
28/4/2021;-1.4%;0.0%
29/4/2021;-0.1%;0.6%
30/4/2021;-2.7%;-0.7%
3/5/2021;-3.8%;0.2%
4/5/2021;0.1%;-0.6%
5/5/2021;-1.0%;0.0%
6/5/2021;0.1%;0.8%
7/5/2021;1.2%;0.7%
10/5/2021;-3.6%;-1.0%
11/5/2021;1.1%;-0.9%
12/5/2021;-2.9%;-2.1%
13/5/2021;-2.1%;1.2%
14/5/2021;2.1%;1.5%
17/5/2021;0.1%;-0.3%
18/5/2021;-0.3%;-0.9%
19/5/2021;2.4%;-0.3%
20/5/2021;2.4%;1.1%
21/5/2021;-1.1%;-0.1%
24/5/2021;0.3%;1.0%
25/5/2021;0.5%;-0.2%
26/5/2021;0.6%;0.2%
27/5/2021;0.1%;0.1%
28/5/2021;2.1%;0.2%
1/6/2021;0.9%;-0.1%
2/6/2021;1.4%;0.2%
3/6/2021;-2.1%;-0.4%
4/6/2021;1.6%;0.9%
7/6/2021;-0.3%;-0.1%
8/6/2021;-0.6%;0.0%
9/6/2021;-1.1%;-0.1%
10/6/2021;2.0%;0.5%
11/6/2021;-0.3%;0.2%
14/6/2021;0.3%;0.2%
15/6/2021;-1.3%;-0.2%
16/6/2021;-0.4%;-0.6%
17/6/2021;5.6%;0.0%
18/6/2021;0.1%;-1.3%
21/6/2021;-2.4%;1.4%
22/6/2021;1.2%;0.5%
23/6/2021;0.3%;-0.1%
24/6/2021;2.7%;0.6%
25/6/2021;-0.6%;0.4%
28/6/2021;1.7%;0.2%
29/6/2021;2.8%;0.1%
30/6/2021;4.9%;0.1%
1/7/2021;-0.7%;0.6%
2/7/2021;1.5%;0.8%
6/7/2021;-0.2%;-0.2%
7/7/2021;-4.2%;0.4%
8/7/2021;-0.9%;-0.8%
9/7/2021;1.3%;1.1%
12/7/2021;-0.1%;0.4%
13/7/2021;-0.6%;-0.3%
14/7/2021;-1.3%;0.1%
15/7/2021;-2.4%;-0.3%
16/7/2021;-1.2%;-0.8%
19/7/2021;0.8%;-1.5%
20/7/2021;0.6%;1.4%
21/7/2021;2.6%;0.8%
22/7/2021;2.0%;0.2%
23/7/2021;1.0%;1.0%
26/7/2021;-0.4%;0.2%
27/7/2021;-0.9%;-0.5%
28/7/2021;7.6%;0.0%
29/7/2021;5.1%;0.4%
30/7/2021;3.1%;-0.5%
2/8/2021;2.3%;-0.2%
3/8/2021;3.6%;0.8%
4/8/2021;5.5%;-0.5%
5/8/2021;-5.4%;0.6%
6/8/2021;-2.0%;0.2%
9/8/2021;-2.3%;-0.1%
10/8/2021;-1.0%;0.1%
11/8/2021;1.1%;0.2%
12/8/2021;-1.1%;0.3%
13/8/2021;3.8%;0.2%
16/8/2021;-2.8%;0.2%
17/8/2021;0.1%;-0.7%
18/8/2021;-3.8%;-1.1%
19/8/2021;0.3%;0.2%
20/8/2021;0.9%;0.8%
23/8/2021;3.9%;0.9%
24/8/2021;-1.0%;0.2%
25/8/2021;0.6%;0.2%
26/8/2021;-1.0%;-0.6%
27/8/2021;3.9%;0.9%
30/8/2021;-0.1%;0.4%
31/8/2021;-0.5%;-0.1%
1/9/2021;-0.7%;0.1%
2/9/2021;-0.7%;0.3%
3/9/2021;0.7%;0.0%
7/9/2021;-0.7%;-0.4%
8/9/2021;-2.7%;-0.1%
9/9/2021;0.0%;-0.4%
10/9/2021;-0.9%;-0.8%
13/9/2021;-0.4%;0.3%
14/9/2021;0.9%;-0.5%
15/9/2021;-0.1%;0.8%
16/9/2021;0.6%;-0.2%
17/9/2021;-2.2%;-1.0%
20/9/2021;-2.2%;-1.7%
21/9/2021;1.3%;-0.1%
22/9/2021;1.5%;1.0%
23/9/2021;1.7%;1.2%
24/9/2021;-0.3%;0.2%
27/9/2021;2.2%;-0.3%
28/9/2021;-6.1%;-2.0%
29/9/2021;-1.2%;0.2%
30/9/2021;2.5%;-1.2%
1/10/2021;-0.4%;1.2%
4/10/2021;-2.1%;-1.3%
5/10/2021;1.5%;1.0%
6/10/2021;1.8%;0.4%
7/10/2021;2.7%;0.9%
8/10/2021;-1.3%;-0.2%
11/10/2021;-0.4%;-0.7%
12/10/2021;0.3%;-0.2%
13/10/2021;3.9%;0.4%
14/10/2021;2.6%;1.7%
15/10/2021;0.1%;0.8%
18/10/2021;3.8%;0.3%
19/10/2021;-0.1%;0.8%
20/10/2021;0.1%;0.4%
21/10/2021;2.5%;0.3%
22/10/2021;0.4%;-0.1%
25/10/2021;2.1%;0.5%
26/10/2021;0.5%;0.1%
27/10/2021;-0.5%;-0.4%
28/10/2021;-0.9%;1.0%

